CHURN,CONTRACTION,STABLE,EXPANSION,model,run,seed
0.4134793694946685,0.1463808163795182,0.7586869530431377,0.05558933379657778,02b regress-volume,0,42
0.40654663251469036,0.03700921363706666,0.7609115320415124,0.1771628391782388,02b regress-ratio,0,42
0.4071335363201392,0.31980127008554315,0.5987815797327902,0.4139818268994632,Direct LightGBM comparator,0,42
0.4305360021219726,0.1536915388340201,0.7605400149425607,0.0627168350232888,02b regress-volume,1,43
0.4305360021219726,0.03902255472675358,0.7655168591313065,0.1813961283834744,02b regress-ratio,1,43
0.41483734717997406,0.32142601952107164,0.6029320632758285,0.4164247037589265,Direct LightGBM comparator,1,43
0.40476321636460455,0.14951564828614008,0.7552892932031329,0.047353541699387464,02b regress-volume,2,44
0.39787479953052063,0.03750569362203237,0.7580213068547217,0.17565257329488912,02b regress-ratio,2,44
0.418993006451113,0.3195916764821358,0.6040648721560472,0.4167447205408937,Direct LightGBM comparator,2,44
0.43599271402550094,0.15456535999039164,0.7639567653271846,0.05988012411586717,02b regress-volume,3,45
0.43599271402550094,0.03815544894983471,0.7677741199572613,0.17734779601545236,02b regress-ratio,3,45
0.41332165105284946,0.32059089452207484,0.6036435617107828,0.41587185275358207,Direct LightGBM comparator,3,45
0.4059216451516061,0.151,0.7555736666650301,0.055617136300877036,02b regress-volume,4,46
0.4059216451516061,0.03704238653408144,0.7602595702778576,0.17934948331356937,02b regress-ratio,4,46
0.4138768059655119,0.3194177226121877,0.6023563882833667,0.41514228841629885,Direct LightGBM comparator,4,46
