accuracy,balanced_acc,macro_f1,weighted_f1,model,run,seed,n_holdout,tau_vol,tau_rat
0.6058294103538647,0.46974996401453734,0.34353411817847557,0.5281663421564522,02b regress-volume,0,42,571207,0.45000000000000007,0.475
0.6098262101129713,0.4738174560854972,0.345407554342877,0.5334399193780299,02b regress-ratio,0,42,571207,0.45000000000000007,0.475
0.48812952222224165,0.5718444071975388,0.434924553259484,0.5157418738726718,Direct LightGBM comparator,0,42,571207,0.45000000000000007,0.475
0.6097186646812804,0.47056632057708475,0.35187109773046055,0.5321315248291302,02b regress-volume,1,43,568823,0.4,0.4
0.6176824776775904,0.47332377797247077,0.3541178860908768,0.5381263928057533,02b regress-ratio,1,43,568823,0.4,0.4
0.4921372729302437,0.573089383682654,0.43890503343395015,0.5192532845455977,Direct LightGBM comparator,1,43,568823,0.4,0.4
0.6008862618840463,0.4720386040078518,0.3392304248883163,0.5249987004204357,02b regress-volume,2,44,567778,0.5,0.525
0.6052118961988665,0.4763055859853958,0.34226359332554096,0.5312851061744652,02b regress-ratio,2,44,567778,0.5,0.525
0.4930025467700404,0.5738919840325535,0.4398485689075474,0.5200597341737617,Direct LightGBM comparator,2,44,567778,0.5,0.525
0.6137823053051678,0.4707075265021405,0.3535987408647361,0.5345334649335801,02b regress-volume,3,45,567786,0.375,0.375
0.6203358307531359,0.47257465459567904,0.3548175197370123,0.5393715595910846,02b regress-ratio,3,45,567786,0.375,0.375
0.4921590176580613,0.5737193067493456,0.4383569900098223,0.5195774309342011,Direct LightGBM comparator,3,45,567786,0.375,0.375
0.6013980331436667,0.47157895980312997,0.34202811202937833,0.5262664087193382,02b regress-volume,4,46,566081,0.475,0.475
0.6088280652415468,0.4748635456607322,0.34564327131927863,0.5329945430453252,02b regress-ratio,4,46,566081,0.475,0.475
0.4910887311179849,0.57138028529698,0.4376983013193413,0.5182550143847395,Direct LightGBM comparator,4,46,566081,0.475,0.475
