feature,mean_gain_share,se_gain_share,mean_rank,top5_count,top10_count
is_auto_renew,0.7461577464337079,0.032622003601154935,1.0,5.0,5.0
is_cancel,0.08184159227194701,0.007538012029523579,2.0,5.0,5.0
recency_days,0.017984899765593674,0.00224131981650506,3.6,5.0,5.0
n_prior_autorenew,0.015835274408447557,0.004104042969460523,7.0,4.0,4.0
payment_method_id,0.01574401853116947,0.0022984434719834383,4.4,5.0,5.0
pre_n_days,0.011360765422847386,0.0013845028344157046,6.4,1.0,5.0
cancel_rate,0.011221044015698801,0.0015752961539388798,6.8,0.0,5.0
pre_amount_paid,0.009364410912712905,0.0010846848697017028,8.0,0.0,5.0
payment_plan_days,0.008323046732738749,0.0009450105057350532,10.0,0.0,3.0
recent_vs_life_ratio,0.008015682788779553,0.001234410373251761,10.0,0.0,3.0
auto_renew_rate,0.007712319746152713,0.001957096400438859,12.4,0.0,1.0
n_prior_renewals,0.007533969060926389,0.001280321160353688,11.8,0.0,1.0
prior_renewal_rate,0.007446485985905518,0.0012645805073295904,11.6,0.0,1.0
n_hist_txns,0.006052168180143,0.000565669923699543,13.4,0.0,1.0
n_prior_cancels,0.004554855616655083,0.001092347361432984,17.6,0.0,1.0
pre_total_secs,0.004436654518932698,0.000649009852605721,15.8,0.0,0.0
tenure_days,0.004423672121759791,0.0007092331507211469,16.0,0.0,0.0
mode_pay_method,0.004311831610776726,0.0006977949017720822,17.0,0.0,0.0
mean_hist_price,0.0038675785193812485,0.0005919112894744856,18.6,0.0,0.0
pre_list_price,0.0036783118806949858,0.00031307097279608466,18.6,0.0,0.0
median_hist_paid,0.003604288678134585,0.0004826353240303926,19.8,0.0,0.0
registration_init_time,0.00336613005685986,0.0005598368167289534,21.4,0.0,0.0
pre_rate,0.002714957120423653,0.00047959785618072767,23.2,0.0,0.0
city,0.002532940562958955,0.0004217307714888633,23.8,0.0,0.0
registered_via,0.0023263664833524074,0.0003382108070543,25.0,0.0,0.0
obs_secs_per_active_day,0.002077775076292229,0.0003615392288652951,25.8,0.0,0.0
bd,0.0018408624579871954,0.00029044916097022014,27.0,0.0,0.0
gender,0.0016703510390199162,0.00025461923188565714,28.0,0.0,0.0
has_hist_txn,0.0,0.0,29.0,0.0,0.0
