move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.3610569914623134,0.0009250056111064031,0.3178487490264064,48.3,800,0.1,127,200,1.0,1.0,1.0
0.3605191063136209,0.0013122662278139128,0.31837057348025727,46.1,800,0.1,127,50,0.85,0.85,1.0
0.3571208559242424,0.0009572400784386184,0.3164927471707914,33.3,300,0.1,255,20,0.7,0.7,1.0
0.3550864539838336,0.0023580050849287553,0.3131848025568977,93.2,800,0.03,255,100,0.7,0.7,0.0
0.3549605215809677,0.0015690531146704905,0.3138762370258412,55.3,500,0.05,255,50,0.7,0.7,1.0
0.3527058554928979,0.0008193545001870077,0.3139686306371686,18.1,300,0.1,127,50,0.85,0.7,0.0
0.3526703228542086,0.0014110686245014928,0.31169907256036034,85.4,800,0.03,255,50,0.85,1.0,1.0
0.3524413532547148,0.0015071799087989488,0.3108281824333378,60.1,500,0.03,255,200,0.85,0.85,0.0
0.3515731304580265,0.0025454653862871717,0.3103581969400085,59.2,500,0.03,255,200,0.7,1.0,1.0
0.3500422815793807,0.001526217048980495,0.31065221077358335,14.5,800,0.1,31,100,0.85,1.0,5.0
0.3499973735180626,0.00211405913079656,0.3107003047989725,55.4,500,0.03,255,50,1.0,1.0,5.0
0.3499088800540097,0.0016361826802575616,0.30962707200599,36.5,300,0.03,255,100,0.85,0.85,5.0
0.3498557473838555,0.001206590069478906,0.31187902312860477,16.6,500,0.1,63,50,0.7,0.85,5.0
0.3489700440956558,0.001570672253568515,0.3102879354378682,10.4,300,0.1,63,100,0.7,0.85,5.0
0.3488427182703581,0.0013053420777463518,0.31170956346950107,14.7,800,0.1,31,50,1.0,0.85,1.0
0.34877050782941915,0.0018552478782747487,0.3101775178289861,26.0,800,0.05,63,100,1.0,1.0,0.0
0.3478027498706909,0.0009123143153496978,0.31051878298162433,10.1,500,0.1,31,200,1.0,0.7,5.0
0.34738179695102783,0.0017840263337882702,0.3107614152312899,9.5,500,0.1,31,20,0.85,0.7,0.0
0.34724846134040566,0.0011696131960299404,0.3098413075851087,16.9,500,0.05,63,50,0.85,0.7,5.0
0.3465008515243813,0.0013537634521188725,0.310394420974671,9.7,500,0.1,31,20,0.85,0.7,5.0
0.34647086019210965,0.00215289356673769,0.3085190481196924,19.1,300,0.03,127,20,0.85,0.85,5.0
0.34635767778316,0.0015046506529920666,0.3096269511757879,16.9,500,0.05,63,20,0.85,0.7,5.0
0.34627513726336606,0.0017819924466320595,0.3079144046671541,10.5,300,0.03,63,50,0.7,1.0,0.0
0.34585777549414454,0.0018094564729590277,0.3081288089356623,6.2,300,0.05,31,20,0.85,0.85,1.0
