move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.3621936397319665,0.0010387853374750325,0.32042360616640714,45.3,800,0.1,127,50,1.0,0.7,5.0
0.35830096833213837,0.0007649332935911772,0.31706698564855823,32.0,300,0.1,255,50,0.85,0.7,5.0
0.35785650081726805,0.0008728927960102143,0.31786743805713114,43.8,800,0.1,127,20,1.0,0.85,1.0
0.35522664604666626,0.0006502856423300079,0.3146417449103626,25.7,800,0.1,63,200,0.7,0.7,5.0
0.35147979993904627,0.002318992479950291,0.3128754843323798,18.3,300,0.1,127,100,0.85,0.85,0.0
0.3491952917838043,0.0010909092261053943,0.3106998941310628,58.0,500,0.03,255,200,0.85,0.85,5.0
0.349103647037402,0.00046860124052268485,0.31174530795301986,17.1,500,0.1,63,100,0.7,0.85,1.0
0.34872217533302924,0.0009383725096295707,0.31136416245520043,28.3,500,0.05,127,100,0.7,0.7,0.0
0.3485943437737073,0.0013610616186778071,0.3109715569115601,26.1,800,0.05,63,200,0.85,0.7,1.0
0.3481852810417172,0.0008607462316051255,0.3114197010693544,16.0,300,0.1,127,50,0.85,1.0,0.0
0.3473183402168341,0.00025589021653592476,0.3109511800673925,55.1,500,0.03,255,20,1.0,0.7,5.0
0.3472780076228825,0.000853880105324278,0.31167171325241244,14.1,800,0.1,31,50,0.85,0.85,0.0
0.34677722228110314,0.000770442668983359,0.30961470762616816,18.2,300,0.05,127,200,0.85,0.7,5.0
0.3463308392390502,0.0007903201020847397,0.308936857692981,17.7,300,0.05,127,100,0.85,1.0,1.0
0.3461508594875377,0.0011665946918498521,0.30910675913750524,8.3,500,0.1,31,50,1.0,1.0,1.0
0.34545462509852093,3.643937580785954e-05,0.30975134223875356,15.8,500,0.05,63,50,1.0,0.7,0.0
0.34528644720874596,0.001532299567750249,0.30882999367428104,28.0,500,0.03,127,100,1.0,1.0,1.0
0.3450649460890154,0.0008184075872576116,0.30807482858013835,5.8,300,0.1,31,200,0.7,1.0,0.0
0.34486388404788615,0.0009830735096072016,0.30840781767289144,15.2,800,0.05,31,200,0.85,1.0,5.0
0.3446756524206631,0.00035601248678037307,0.308630455988834,24.8,800,0.03,63,50,1.0,1.0,0.0
0.3446115264708154,0.0007266399952320794,0.307623179156673,9.1,500,0.05,31,100,0.85,1.0,5.0
0.34410819713108526,0.0005849754978995417,0.30889784522558755,23.9,800,0.03,63,20,1.0,0.85,0.0
0.34389260506709923,0.0008890073668292681,0.3075935192616943,13.9,800,0.03,31,100,1.0,1.0,5.0
0.3438074880796671,0.0012299322414233672,0.3087733332402908,17.2,500,0.05,63,20,0.7,0.85,5.0
