macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.45916942961887314,0.003651156588039914,0.5217318144065307,206.8,800,0.05,127,50,1.0,0.85,5.0
0.4555612545953847,0.004190539432835384,0.5264983024921753,198.6,800,0.05,127,100,0.85,1.0,5.0
0.4554586028556262,0.0033086139736937426,0.4709320521961686,221.5,500,0.1,255,20,1.0,1.0,1.0
0.4552104808476845,0.0040462034638383175,0.4825172615415589,206.0,800,0.1,127,50,1.0,0.85,5.0
0.45359225532030584,0.00463343625657045,0.516381368414618,202.0,800,0.05,127,200,0.7,0.85,0.0
0.4519548978313141,0.004299678826794545,0.4789975042603336,410.6,800,0.05,255,100,1.0,0.7,5.0
0.4508402564792915,0.003963036289882792,0.5358947600123395,142.4,300,0.05,255,200,1.0,1.0,5.0
0.4500928868234291,0.003525519376276202,0.545024148820838,103.2,800,0.05,63,50,0.85,1.0,1.0
0.4500146347353072,0.0023640355191851103,0.4674972609964037,202.8,800,0.1,127,50,0.7,0.7,0.0
0.4490925903740887,0.0021309107483669376,0.5375165674446195,65.8,500,0.1,63,50,0.85,1.0,5.0
0.44720530914578244,0.0030691613178001446,0.5055009091558827,128.7,800,0.1,63,200,0.85,0.7,0.0
0.4450424990575033,0.0042676738701778304,0.4588225747458179,237.5,500,0.1,255,100,0.7,0.7,1.0
0.44404686065074844,0.003619199707506298,0.5589122812142103,78.9,300,0.03,127,50,1.0,0.85,1.0
0.4377500096308553,0.0033504372265489657,0.5606532692623758,44.1,500,0.05,31,20,0.7,0.7,5.0
0.4365771326449181,0.0038069946788717684,0.5629825006399801,47.1,300,0.03,63,100,0.85,0.7,1.0
0.43328665145777845,0.004413299899606391,0.5626654027429685,41.6,500,0.03,31,20,0.7,1.0,5.0
