macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.7299971088117972,0.0050554714584011284,0.7656684121866206,93.7,800,0.03,255,50,0.85,0.85,0.0
0.7279258466630557,0.00341045520692983,0.7950698042035853,98.6,800,0.03,255,100,0.85,0.85,5.0
0.7194428597542898,0.005374738721428028,0.7354747106002057,53.0,800,0.1,127,20,1.0,0.85,5.0
0.7193568714648925,0.00348675991515741,0.8088720490195569,47.5,800,0.05,127,200,0.7,1.0,0.0
0.7174691636330758,0.005308500260889821,0.8244820671686197,34.3,300,0.05,255,100,0.85,1.0,0.0
0.7163540623352808,0.00315022337876464,0.7844099290159074,29.2,800,0.1,63,200,0.85,0.7,1.0
0.7065839740192604,0.0037542511877327075,0.8233520766828267,17.2,500,0.1,63,20,0.85,1.0,0.0
0.7029861817402304,0.0024443733757855365,0.8530815151617497,27.0,800,0.05,63,50,1.0,1.0,5.0
0.6847632535427642,0.0034599696950252602,0.8658067710902427,11.3,500,0.1,31,200,0.7,0.7,5.0
0.684404661368136,0.004920862640614079,0.8682840637867147,18.3,800,0.05,31,200,1.0,0.7,0.0
0.6810305509748759,0.0045806209058184754,0.8789276524627915,19.5,300,0.03,127,200,0.85,1.0,5.0
0.6803818682965114,0.004496747304558028,0.8775179045653435,11.6,300,0.05,63,100,1.0,0.85,1.0
0.6732224003608508,0.0027632877826567837,0.8803645618433843,10.3,500,0.05,31,50,1.0,1.0,0.0
0.6666336766288575,0.004439102339275521,0.8840931163489884,11.7,300,0.03,63,200,1.0,1.0,0.0
0.6664752818378384,0.004383325726448593,0.8830103839324392,12.0,300,0.03,63,200,0.85,0.85,5.0
0.6618897896232229,0.0043587393275741635,0.8837186018017332,11.8,500,0.03,31,100,0.85,0.85,5.0
