macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.7172601011597878,0.0037169224298263894,0.7588039658973859,40.4,300,0.1,255,50,0.85,0.7,5.0
0.7146646543989993,0.003271581801685657,0.8210893320113556,64.1,500,0.03,255,20,1.0,0.7,5.0
0.7110275771404182,0.005168745135051849,0.7120282944990306,47.2,800,0.1,127,20,1.0,0.85,1.0
0.7103026319140975,0.0006324401150690913,0.8345094450819431,57.8,500,0.03,255,200,0.85,0.85,5.0
0.7097229261915353,0.004967284512050715,0.7258250772134943,55.4,800,0.1,127,50,1.0,0.7,5.0
0.7095622561463971,0.0006691830272276331,0.7962192527217397,31.1,800,0.1,63,200,0.7,0.7,5.0
0.7078061703935113,0.0023491124553599537,0.8083580362668874,17.3,300,0.1,127,50,0.85,1.0,0.0
0.6994666568305278,0.003399847383168943,0.8387973027875665,30.4,800,0.05,63,200,0.85,0.7,1.0
0.6974326493558812,0.0038400146827011782,0.8278757643439189,17.3,800,0.1,31,50,0.85,0.85,0.0
0.6921181651070151,0.0038896702207083756,0.8589302515560727,31.5,500,0.03,127,100,1.0,1.0,1.0
0.6892207066634151,0.0038995905839676183,0.8587148480405412,20.5,300,0.05,127,200,0.85,0.7,5.0
0.6885127969792002,0.002270665741103867,0.85704547903199,29.6,800,0.03,63,20,1.0,0.85,0.0
0.6848228018280267,0.003855530237295491,0.8675077846777727,20.1,500,0.05,63,20,0.7,0.85,5.0
0.6809591674049651,0.00348325753338912,0.8608979395411498,10.1,500,0.1,31,50,1.0,1.0,1.0
0.6739221424110312,0.003211767167033461,0.8732523645681183,16.6,800,0.05,31,200,0.85,1.0,5.0
0.661628134505353,0.002857558663561829,0.8784936691065178,14.1,800,0.03,31,100,1.0,1.0,5.0
